
Month,Label,Order,Family,Sample_ID,Size,Quantity,Envelope+Stapleweight,Bugs+EnvelopeWeight,Insect_Weight,avgbugsize,DryWeight1,Dryingsmaller?,Dry_Weight_Final,Dry_Weight,LipidFreeWeightwithenvelope,Lipid_Free_Weight,Lipid_Amount,Column1,Notes
June,2025-06-22,Ephemeroptera,Heptageniidae,Heptageniidae,,23,0.637,0.739,0.102,0.0044,0.652,TRUE,0.649,0.012,0.6458,0.0088,0.0932,7.766666667,
August,2025-08-25,Trichoptera,Phryganeidae,Phryganeidae,,6,0.682,0.786,0.104,0.0173,0.704,TRUE,0.705,0.023,0.693,0.011,0.093,4.043478261,
July,2025-07-14,Lepidoptera,Noctuidae,Noctuidae<1,<1,9,0.671,0.785,0.114,0.0127,0.687,TRUE,0.682,0.011,0.684,0.013,0.101,9.181818182,
August,2025-08-14,Lepidoptera,Geometridae,Geometridae>1,>1,7,0.68,0.789,0.109,0.0156,0.701,TRUE,0.701,0.021,0.693,0.013,0.096,4.571428571,
July,2025-07-02,Lepidoptera,Erebidae,Erebidae<1,<1,14,0.658,0.762,0.104,0.0074,0.68,TRUE,0.68,0.022,0.673,0.015,0.089,4.045454545,
July,2025-07-14,Lepidoptera,Pyralidae,Pyralidae>1,>1,9,0.662,0.799,0.137,0.0152,0.69,TRUE,0.69,0.028,0.678,0.016,0.121,4.321428571,
August,NA,Lepidoptera,Crambidae,Crambidae>1,>1,7,0.658,0.768,0.11,0.0157,0.685,TRUE,0.685,0.027,0.674,0.016,0.094,3.481481481,
August,2025-08-04,Lepidoptera,Tortricidae,Tortricidae<1,<1,43,0.673,0.808,0.135,0.0031,0.711,TRUE,0.711,0.038,0.69,0.017,0.118,3.105263158,
July,2025-07-02,Coleoptera,Staphylinidae,Staphylinidae,,57,0.662,0.775,0.113,0.0020,0.688,TRUE,0.688,0.026,0.679,0.017,0.096,3.692307692,
July,2025-07-14,Ephemeroptera,Heptageniidae,Heptageniidae,,33,0.68,0.81,0.13,0.0039,0.704,TRUE,0.703,0.023,0.6988,0.0188,0.1112,4.834782609,
August,2025-08-04,Lepidoptera,Geometridae,Geometridae>1,>1,10,0.683,0.822,0.139,0.0139,0.714,TRUE,0.714,0.031,0.703,0.02,0.119,3.838709677,
