Month,Label ,Order,Family,Size,Sample_ID,Quantity,Envelope+Staple weight,Bugs+Envelope Weight,Insect_Weight,Ind_Insect_Weight,Dry_Weight_Envelope,Dry_Weight,Lipid_Free_Weight_Envelope,Lipid_Free_Weight,lipid amount,Individual lipid free 
June,2025-06-11,Lepidoptera,Geometridae,<1,Geometridae<1,7,0.428,0.536,0.108,0.015428571,0.452,0.024,0.4503,0.022,0.086,0.012285714
June,2025-06-11,Lepidoptera,Crambidae,<1,Crambidae<1,28,0.426,0.53,0.104,0.003714286,0.46,0.034,0.4516,0.026,0.078,0.002785714
June,2025-06-22,Lepidoptera,Noctuidae,<1,Noctuidae<1,7,0.431,0.558,0.127,0.018142857,0.461,0.03,0.4547,0.024,0.103,0.014714286
May,2025-05-31,Lepidoptera,Lasiocampidae,,Lasiocampidae,1,0.424,0.591,0.167,0.167,0.479,0.055,0.4566,0.033,0.134,0.134
June,2025-06-11,Lepidoptera,Noctuidae,<1,Noctuidae<1,4,0.426,0.558,0.132,0.033,0.462,0.036,0.4587,0.033,0.099,0.02475
May,NA,Diptera,Nematocera ,,Nematocera ,120,0.424,0.543,0.119,0.000991667,0.463,0.039,0.4597,0.036,0.083,0.000691667
June,NA,Coleoptera,Carabidae,>1,Carabidae>1,4,0.429,0.543,0.114,0.0285,0.469,0.04,0.4613,0.032,0.082,0.0205
June,2025-06-11,Diptera,Nematocera ,,Nematocera ,181,0.43,0.54,0.11,0.000607735,0.466,0.036,0.4656,0.036,0.074,0.00040884
June,2025-06-11,Diptera,Brachycera,,Brachycera,22,0.438,0.575,0.137,0.006227273,0.474,0.036,0.4706,0.033,0.104,0.004727273
June,2025-06-11,Trichoptera,Leptoceridae,,Leptoceridae,15,0.419,0.651,0.232,0.015466667,0.485,0.066,0.4752,0.056,0.176,0.011733333
May,NA,Lepidoptera,Notodontidae,,Notodontidae,1,0.437,0.562,0.125,0.125,0.483,0.046,0.481,0.044,0.081,0.081
July,2025-07-25,Coleoptera,Elateridae,,Elateridae,3,0.438,0.599,0.161,0.053666667,0.487,0.049,0.4814,0.043,0.118,0.039333333
June,2025-06-22,Lepidoptera,Erebidae,<1,Erebidae<1,18,0.428,0.598,0.17,0.009444444,0.488,0.06,0.4815,0.054,0.116,0.006444444
July,2025-07-02,Lepidoptera,Pyralidae,>1,Pyralidae>1,7,0.457,0.584,0.127,0.018142857,0.498,0.041,0.4899,0.033,0.094,0.013428571
May,2025-05-19,Lepidoptera,Notodontidae,,Notodontidae,2,0.426,0.717,0.291,0.1455,0.531,0.105,0.4908,0.065,0.226,0.113
July,2025-07-14,Lepidoptera,Microlep,,Microlep,194,0.446,0.557,0.111,0.000572165,0.502,0.056,0.4913,0.045,0.066,0.000340206
July,2025-07-25,Coleoptera,Carabidae,<1,Carabidae<1,19,0.459,0.584,0.125,0.006578947,0.508,0.049,0.4979,0.039,0.086,0.004526316
July,2025-07-14,Lepidoptera,Gelechiidae,,Gelechiidae,59,0.454,0.615,0.161,0.002728814,0.515,0.061,0.5045,0.05,0.111,0.001881356
June,NA,Lepidoptera,Gelechiidae,,Gelechiidae,59,0.436,0.618,0.182,0.003084746,0.514,0.078,0.5052,0.069,0.113,0.001915254
June,2025-06-22,Ephemeroptera,Caenidae,,Caenidae,210,0.432,0.562,0.13,0.000619048,0.524,0.092,0.5188,0.087,0.043,0.000204762
May,2025-05-19,Lepidoptera,Lasiocampidae,,Lasiocampidae,2,0.431,0.825,0.394,0.197,0.588,0.157,0.5239,0.093,0.301,0.1505
June,2025-06-22,Lepidoptera,Crambidae,<1,Crambidae<1,41,0.428,0.765,0.337,0.008219512,0.568,0.14,0.5287,0.101,0.236,0.005756098
